Name	Start	Duration	Time Format	Type	Description
Circle	0:05.277	0:00.000	decimal	Cue	
Circle	0:10.151	0:00.000	decimal	Cue	
Circle	0:14.931	0:00.000	decimal	Cue	
Triangle	0:19.661	0:00.000	decimal	Cue	
Circle	0:24.326	0:00.000	decimal	Cue	
Circle	0:29.311	0:00.000	decimal	Cue	
Circle	0:34.111	0:00.000	decimal	Cue	
Circle	0:38.896	0:00.000	decimal	Cue	
Circle	0:43.621	0:00.000	decimal	Cue	
Circle	0:48.421	0:00.000	decimal	Cue	
Circle	0:53.201	0:00.000	decimal	Cue	
Circle	0:58.037	0:00.000	decimal	Cue	
Pentagon	1:02.862	0:00.000	decimal	Cue	
Pentagon Release	1:11.182	0:00.000	decimal	Cue	
Triangle	1:12.376	0:00.000	decimal	Cue	
Square	1:17.242	0:00.000	decimal	Cue	
Square Release	1:18.372	0:00.000	decimal	Cue	
Square	1:19.602	0:00.000	decimal	Cue	
Square Release	1:20.802	0:00.000	decimal	Cue	
Square	1:22.007	0:00.000	decimal	Cue	
Square Release	1:23.208	0:00.000	decimal	Cue	
Square	1:24.432	0:00.000	decimal	Cue	
Square Release	1:25.563	0:00.000	decimal	Cue	
Square	1:26.792	0:00.000	decimal	Cue	
Square Release	1:27.972	0:00.000	decimal	Cue	
Square	1:29.202	0:00.000	decimal	Cue	
Square Release	1:30.382	0:00.000	decimal	Cue	
Square	1:31.642	0:00.000	decimal	Cue	
Square Release	1:34.032	0:00.000	decimal	Cue	
Circle	1:36.407	0:00.000	decimal	Cue	
Circle	1:38.782	0:00.000	decimal	Cue	
Circle	1:41.411	0:00.000	decimal	Cue	
Circle	1:43.841	0:00.000	decimal	Cue	
Pentagon	1:46.068	0:00.000	decimal	Cue	
Pentagon Release	1:54.232	0:00.000	decimal	Cue	
