Name	Start	Duration	Time Format	Type	Description
C-125	0:01.500	0:00.000	decimal	Cue	
C-125	0:02.200	0:00.000	decimal	Cue	
C-125	0:02.321	0:00.000	decimal	Cue	
C-125	0:02.464	0:00.000	decimal	Cue	
C-125	0:02.802	0:00.000	decimal	Cue	
C-125	0:03.500	0:00.000	decimal	Cue	
C-125	0:03.600	0:00.000	decimal	Cue	
C-125	0:03.700	0:00.000	decimal	Cue	
C-125	0:04.200	0:00.000	decimal	Cue	
C-125	0:04.900	0:00.000	decimal	Cue	
C-125	0:05.050	0:00.000	decimal	Cue	
C-125	0:05.180	0:00.000	decimal	Cue	
C-125	0:05.500	0:00.000	decimal	Cue	
C-125	0:06.254	0:00.000	decimal	Cue	
C-125	0:06.385	0:00.000	decimal	Cue	
C-125	0:06.500	0:00.000	decimal	Cue	
C-125	0:06.900	0:00.000	decimal	Cue	
C-125	0:07.611	0:00.000	decimal	Cue	
C-125	0:07.787	0:00.000	decimal	Cue	
C-125	0:07.948	0:00.000	decimal	Cue	
C-125	0:08.300	0:00.000	decimal	Cue	
C-125	0:09.000	0:00.000	decimal	Cue	
C-125	0:09.673	0:00.000	decimal	Cue	
C-125	0:10.354	0:00.000	decimal	Cue	
C-125	0:10.531	0:00.000	decimal	Cue	
C-125	0:10.700	0:00.000	decimal	Cue	
C-125	0:11.034	0:00.000	decimal	Cue	
C-125	0:11.400	0:00.000	decimal	Cue	
C-125	0:12.069	0:00.000	decimal	Cue	
C-125	0:12.750	0:00.000	decimal	Cue	
C-125	0:13.431	0:00.000	decimal	Cue	
C-125	0:14.120	0:00.000	decimal	Cue	
C-125	0:14.633	0:00.000	decimal	Cue	
C-125	0:14.800	0:00.000	decimal	Cue	
C-125	0:15.156	0:00.000	decimal	Cue	
C-125	0:15.500	0:00.000	decimal	Cue	
C-125	0:16.010	0:00.000	decimal	Cue	
C-125	0:16.085	0:00.000	decimal	Cue	
C-125	0:16.184	0:00.000	decimal	Cue	
C-125	0:16.867	0:00.000	decimal	Cue	
C-125	0:17.552	0:00.000	decimal	Cue	
C-125	0:18.229	0:00.000	decimal	Cue	
C-125	0:18.920	0:00.000	decimal	Cue	
C-125	0:19.600	0:00.000	decimal	Cue	
C-125	0:19.948	0:00.000	decimal	Cue	
C-125	0:20.300	0:00.000	decimal	Cue	
C-125	0:20.500	0:00.000	decimal	Cue	
C-125	0:20.600	0:00.000	decimal	Cue	
C-125	0:21.000	0:00.000	decimal	Cue	
C-125	0:21.672	0:00.000	decimal	Cue	
C-125	0:22.349	0:00.000	decimal	Cue	
C-125	0:23.039	0:00.000	decimal	Cue	
C-125	0:23.721	0:00.000	decimal	Cue	
C-125	0:24.400	0:00.000	decimal	Cue	
C-125	0:25.100	0:00.000	decimal	Cue	
C-125	0:25.600	0:00.000	decimal	Cue	
C-125	0:25.700	0:00.000	decimal	Cue	
C-125	0:25.800	0:00.000	decimal	Cue	
C-125	0:26.122	0:00.000	decimal	Cue	
C-125	0:26.469	0:00.000	decimal	Cue	
C-125	0:26.981	0:00.000	decimal	Cue	
C-125	0:27.059	0:00.000	decimal	Cue	
C-125	0:27.146	0:00.000	decimal	Cue	
C-125	0:27.500	0:00.000	decimal	Cue	
C-125	0:27.841	0:00.000	decimal	Cue	
C-125	0:28.865	0:00.000	decimal	Cue	
C-125	0:29.600	0:00.000	decimal	Cue	
C-125	0:30.237	0:00.000	decimal	Cue	
C-125	0:30.922	0:00.000	decimal	Cue	
C-125	0:31.300	0:00.000	decimal	Cue	
C-125	0:31.500	0:00.000	decimal	Cue	
C-125	0:31.600	0:00.000	decimal	Cue	
C-125	0:31.700	0:00.000	decimal	Cue	
C-125	0:32.300	0:00.000	decimal	Cue	
S-100	0:33.000	0:00.000	decimal	Cue	
C-100	0:33.660	0:00.000	decimal	Cue	
C-100	0:33.842	0:00.000	decimal	Cue	
SE-100	0:34.354	0:00.000	decimal	Cue	
C-100	0:35.039	0:00.000	decimal	Cue	
C-100	0:35.208	0:00.000	decimal	Cue	
S-100	0:35.732	0:00.000	decimal	Cue	
C-100	0:36.409	0:00.000	decimal	Cue	
C-100	0:36.582	0:00.000	decimal	Cue	
SE-100	0:37.106	0:00.000	decimal	Cue	
C-100	0:37.783	0:00.000	decimal	Cue	
C-100	0:37.870	0:00.000	decimal	Cue	
S-100	0:38.500	0:00.000	decimal	Cue	
C-100	0:39.167	0:00.000	decimal	Cue	
C-100	0:39.282	0:00.000	decimal	Cue	
SE-100	0:39.843	0:00.000	decimal	Cue	
C-100	0:40.533	0:00.000	decimal	Cue	
C-100	0:40.700	0:00.000	decimal	Cue	
S-100	0:41.200	0:00.000	decimal	Cue	
C-100	0:41.900	0:00.000	decimal	Cue	
C-100	0:42.000	0:00.000	decimal	Cue	
C-100	0:42.600	0:00.000	decimal	Cue	
C-100	0:43.100	0:00.000	decimal	Cue	
T-100	0:43.442	0:00.000	decimal	Cue	
SE-100	0:43.800	0:00.000	decimal	Cue	
C-125	0:44.600	0:00.000	decimal	Cue	
C-125	0:44.800	0:00.000	decimal	Cue	
S-125	0:45.300	0:00.000	decimal	Cue	
C-125	0:46.000	0:00.000	decimal	Cue	
C-125	0:46.200	0:00.000	decimal	Cue	
SE-125	0:46.700	0:00.000	decimal	Cue	
C-125	0:47.400	0:00.000	decimal	Cue	
C-125	0:47.500	0:00.000	decimal	Cue	
S-125	0:48.100	0:00.000	decimal	Cue	
C-125	0:48.750	0:00.000	decimal	Cue	
C-125	0:48.915	0:00.000	decimal	Cue	
SE-125	0:49.500	0:00.000	decimal	Cue	
C-125	0:50.131	0:00.000	decimal	Cue	
C-125	0:50.300	0:00.000	decimal	Cue	
S-125	0:50.800	0:00.000	decimal	Cue	
C-125	0:51.500	0:00.000	decimal	Cue	
C-125	0:51.600	0:00.000	decimal	Cue	
SE-125	0:52.200	0:00.000	decimal	Cue	
C-125	0:52.875	0:00.000	decimal	Cue	
C-125	0:53.000	0:00.000	decimal	Cue	
C-125	0:54.927	0:00.000	decimal	Cue	
S-100	0:55.300	0:00.000	decimal	Cue	
C-125	0:55.946	0:00.000	decimal	Cue	
C-125	0:56.635	0:00.000	decimal	Cue	
C-125	0:57.320	0:00.000	decimal	Cue	
C-100	0:58.000	0:00.000	decimal	Cue	
C-100	0:58.700	0:00.000	decimal	Cue	
C-100	0:59.400	0:00.000	decimal	Cue	
C-100	1:00.075	0:00.000	decimal	Cue	
C-100	1:00.743	0:00.000	decimal	Cue	
C-100	1:01.432	0:00.000	decimal	Cue	
C-100	1:02.114	0:00.000	decimal	Cue	
C-100	1:02.800	0:00.000	decimal	Cue	
C-100	1:03.500	0:00.000	decimal	Cue	
C-100	1:04.200	0:00.000	decimal	Cue	
C-100	1:04.882	0:00.000	decimal	Cue	
C-100	1:05.546	0:00.000	decimal	Cue	
SE-100	1:05.900	0:00.000	decimal	Cue	
C-125	1:06.400	0:00.000	decimal	Cue	
C-125	1:06.761	0:00.000	decimal	Cue	
C-125	1:07.100	0:00.000	decimal	Cue	
C-125	1:07.434	0:00.000	decimal	Cue	
C-125	1:07.789	0:00.000	decimal	Cue	
C-125	1:08.115	0:00.000	decimal	Cue	
C-125	1:08.470	0:00.000	decimal	Cue	
C-125	1:08.800	0:00.000	decimal	Cue	
C-125	1:09.153	0:00.000	decimal	Cue	
C-125	1:09.500	0:00.000	decimal	Cue	
C-125	1:09.825	0:00.000	decimal	Cue	
C-125	1:10.180	0:00.000	decimal	Cue	
C-125	1:10.531	0:00.000	decimal	Cue	
C-125	1:10.886	0:00.000	decimal	Cue	
C-125	1:11.216	0:00.000	decimal	Cue	
C-125	1:11.551	0:00.000	decimal	Cue	
T-125	1:12.800	0:00.000	decimal	Cue	
T-125	1:13.266	0:00.000	decimal	Cue	
T-125	1:13.778	0:00.000	decimal	Cue	
C-125	1:14.121	0:00.000	decimal	Cue	
C-125	1:14.300	0:00.000	decimal	Cue	
C-125	1:14.468	0:00.000	decimal	Cue	
C-125	1:14.800	0:00.000	decimal	Cue	
C-125	1:14.975	0:00.000	decimal	Cue	
C-125	1:15.145	0:00.000	decimal	Cue	
C-125	1:15.500	0:00.000	decimal	Cue	
C-125	1:15.683	0:00.000	decimal	Cue	
C-125	1:15.835	0:00.000	decimal	Cue	
C-100	1:16.900	0:00.000	decimal	Cue	
C-100	1:17.200	0:00.000	decimal	Cue	
C-100	1:17.552	0:00.000	decimal	Cue	
C-100	1:17.900	0:00.000	decimal	Cue	
S-100	1:18.256	0:00.000	decimal	Cue	
SE-100	1:19.273	0:00.000	decimal	Cue	
C-100	1:19.600	0:00.000	decimal	Cue	
C-100	1:20.300	0:00.000	decimal	Cue	
C-100	1:21.000	0:00.000	decimal	Cue	
C-100	1:21.600	0:00.000	decimal	Cue	
C-100	1:22.400	0:00.000	decimal	Cue	
C-100	1:22.700	0:00.000	decimal	Cue	
C-100	1:22.900	0:00.000	decimal	Cue	
C-100	1:23.200	0:00.000	decimal	Cue	
S-100	1:23.553	0:00.000	decimal	Cue	
SE-100	1:24.400	0:00.000	decimal	Cue	
C-125	1:24.757	0:00.000	decimal	Cue	
C-125	1:25.100	0:00.000	decimal	Cue	
C-125	1:25.800	0:00.000	decimal	Cue	
C-125	1:26.471	0:00.000	decimal	Cue	
C-125	1:27.160	0:00.000	decimal	Cue	
C-100	1:27.834	0:00.000	decimal	Cue	
C-100	1:28.185	0:00.000	decimal	Cue	
C-100	1:28.523	0:00.000	decimal	Cue	
C-100	1:28.869	0:00.000	decimal	Cue	
S-125	1:29.263	0:00.000	decimal	Cue	
SE-125	1:30.231	0:00.000	decimal	Cue	
S-125	1:30.585	0:00.000	decimal	Cue	
SE-125	1:31.600	0:00.000	decimal	Cue	
S-125	1:31.947	0:00.000	decimal	Cue	
SE-125	1:33.000	0:00.000	decimal	Cue	
C-125	1:33.300	0:00.000	decimal	Cue	
C-125	1:33.669	0:00.000	decimal	Cue	
S-125	1:34.026	0:00.000	decimal	Cue	
SE-125	1:35.800	0:00.000	decimal	Cue	
C-125	1:36.089	0:00.000	decimal	Cue	
C-125	1:36.325	0:00.000	decimal	Cue	
S-125	1:36.700	0:00.000	decimal	Cue	
SE-125	1:38.900	0:00.000	decimal	Cue	
C-100	1:39.200	0:00.000	decimal	Cue	
C-100	1:39.500	0:00.000	decimal	Cue	
C-100	1:39.800	0:00.000	decimal	Cue	
C-100	1:40.200	0:00.000	decimal	Cue	
C-100	1:41.200	0:00.000	decimal	Cue	
C-100	1:41.542	0:00.000	decimal	Cue	
C-100	1:41.900	0:00.000	decimal	Cue	
C-100	1:42.200	0:00.000	decimal	Cue	
C-100	1:42.587	0:00.000	decimal	Cue	
C-100	1:42.919	0:00.000	decimal	Cue	
C-100	1:43.267	0:00.000	decimal	Cue	
C-100	1:43.600	0:00.000	decimal	Cue	
C-100	1:44.300	0:00.000	decimal	Cue	
C-100	1:44.635	0:00.000	decimal	Cue	
C-100	1:44.800	0:00.000	decimal	Cue	
C-100	1:45.160	0:00.000	decimal	Cue	
C-100	1:45.500	0:00.000	decimal	Cue	
C-100	1:46.527	0:00.000	decimal	Cue	
