Name	Start	Duration	Time Format	Type	Description
S-125	0:03.062	0:00.000	decimal	Cue	
SE-125	0:05.327	0:00.000	decimal	Cue	
S-125	0:06.056	0:00.000	decimal	Cue	
SE-125	0:08.846	0:00.000	decimal	Cue	
C-125	0:12.068	0:00.000	decimal	Cue	
C-125	0:12.885	0:00.000	decimal	Cue	
C-125	0:13.755	0:00.000	decimal	Cue	
C-125	0:14.502	0:00.000	decimal	Cue	
C-125	0:15.251	0:00.000	decimal	Cue	
C-125	0:16.173	0:00.000	decimal	Cue	
C-125	0:16.563	0:00.000	decimal	Cue	
C-125	0:16.927	0:00.000	decimal	Cue	
C-125	0:17.330	0:00.000	decimal	Cue	
C-125	0:17.707	0:00.000	decimal	Cue	
C-125	0:18.071	0:00.000	decimal	Cue	
C-125	0:19.004	0:00.000	decimal	Cue	
C-125	0:19.758	0:00.000	decimal	Cue	
C-125	0:20.502	0:00.000	decimal	Cue	
C-125	0:21.269	0:00.000	decimal	Cue	
C-125	0:22.011	0:00.000	decimal	Cue	
C-125	0:22.570	0:00.000	decimal	Cue	
C-125	0:22.960	0:00.000	decimal	Cue	
C-125	0:23.324	0:00.000	decimal	Cue	
C-125	0:23.688	0:00.000	decimal	Cue	
S-125	0:24.455	0:00.000	decimal	Cue	
SE-125	0:25.197	0:00.000	decimal	Cue	
S-125	0:25.574	0:00.000	decimal	Cue	
SE-125	0:26.497	0:00.000	decimal	Cue	
C-125	0:27.073	0:00.000	decimal	Cue	
C-125	0:27.850	0:00.000	decimal	Cue	
C-125	0:28.617	0:00.000	decimal	Cue	
C-125	0:29.502	0:00.000	decimal	Cue	
S-125	0:30.256	0:00.000	decimal	Cue	
SE-125	0:32.877	0:00.000	decimal	Cue	
S-125	0:33.150	0:00.000	decimal	Cue	
SE-125	0:35.699	0:00.000	decimal	Cue	
S-125	0:36.808	0:00.000	decimal	Cue	
C-125	0:37.580	0:00.000	decimal	Cue	
C-125	0:38.316	0:00.000	decimal	Cue	
C-125	0:39.067	0:00.000	decimal	Cue	
C-125	0:39.880	0:00.000	decimal	Cue	
C-125	0:40.616	0:00.000	decimal	Cue	
C-125	0:41.329	0:00.000	decimal	Cue	
T-125	0:42.064	0:00.000	decimal	Cue	
T-125	0:43.560	0:00.000	decimal	Cue	
T-125	0:45.140	0:00.000	decimal	Cue	
SE-125	0:47.680	0:00.000	decimal	Cue	
C-125	0:48.026	0:00.000	decimal	Cue	
C-125	0:49.602	0:00.000	decimal	Cue	
C-125	0:51.066	0:00.000	decimal	Cue	
C-125	0:52.605	0:00.000	decimal	Cue	
S-125	0:54.068	0:00.000	decimal	Cue	
SE-125	0:59.660	0:00.000	decimal	Cue	
C-125	1:00.110	0:00.000	decimal	Cue	
S-125	1:00.936	0:00.000	decimal	Cue	
C-125	1:01.621	0:00.000	decimal	Cue	
C-125	1:03.088	0:00.000	decimal	Cue	
C-125	1:04.499	0:00.000	decimal	Cue	
T-125	1:06.107	0:00.000	decimal	Cue	
T-125	1:07.546	0:00.000	decimal	Cue	
C-125	1:09.152	0:00.000	decimal	Cue	
C-125	1:09.914	0:00.000	decimal	Cue	
C-125	1:10.789	0:00.000	decimal	Cue	
C-125	1:11.381	0:00.000	decimal	Cue	
SE-125	1:12.119	0:00.000	decimal	Cue	
T-125	1:15.027	0:00.000	decimal	Cue	
T-125	1:18.022	0:00.000	decimal	Cue	
C-125	1:21.081	0:00.000	decimal	Cue	
C-125	1:21.421	0:00.000	decimal	Cue	
C-125	1:21.803	0:00.000	decimal	Cue	
C-125	1:22.163	0:00.000	decimal	Cue	
S-125	1:22.566	0:00.000	decimal	Cue	
SE-125	1:22.970	0:00.000	decimal	Cue	
S-125	1:23.330	0:00.000	decimal	Cue	
SE-125	1:23.670	0:00.000	decimal	Cue	
T-125	1:24.070	0:00.000	decimal	Cue	
T-125	1:25.534	0:00.000	decimal	Cue	
T-125	1:27.061	0:00.000	decimal	Cue	
T-125	1:28.567	0:00.000	decimal	Cue	
S-125	1:30.053	0:00.000	decimal	Cue	
C-125	1:33.047	0:00.000	decimal	Cue	
C-125	1:33.832	0:00.000	decimal	Cue	
C-125	1:34.554	0:00.000	decimal	Cue	
C-125	1:35.339	0:00.000	decimal	Cue	
C-125	1:36.442	0:00.000	decimal	Cue	
C-125	1:36.824	0:00.000	decimal	Cue	
C-125	1:37.184	0:00.000	decimal	Cue	
SE-125	1:37.184	0:00.000	decimal	Cue	
