Name	Start	Duration	Time Format	Type	Description
S-100	0:02.088	0:00.000	decimal	Cue	
SE-100	0:06.062	0:00.000	decimal	Cue	
S-100	0:08.064	0:00.000	decimal	Cue	
SE-100	0:11.074	0:00.000	decimal	Cue	
S-100	0:12.052	0:00.000	decimal	Cue	
SE-100 	0:13.454	0:00.000	decimal	Cue	
S-100	0:14.067	0:00.000	decimal	Cue	
SE-100	0:14.961	0:00.000	decimal	Cue	
C-125	0:16.046	0:00.000	decimal	Cue	
C-125	0:16.554	0:00.000	decimal	Cue	
C-125	0:17.061	0:00.000	decimal	Cue	
C-125	0:17.558	0:00.000	decimal	Cue	
C-125	0:18.055	0:00.000	decimal	Cue	
C-125	0:18.547	0:00.000	decimal	Cue	
S-100	0:19.065	0:00.000	decimal	Cue	
SE-100	0:19.546	0:00.000	decimal	Cue	
S-100	0:20.062	0:00.000	decimal	Cue	
SE-100	0:20.311	0:00.000	decimal	Cue	
S-100	0:20.559	0:00.000	decimal	Cue	
SE-100	0:20.824	0:00.000	decimal	Cue	
S-100	0:21.062	0:00.000	decimal	Cue	
SE-100	0:22.065	0:00.000	decimal	Cue	
C-125	0:24.063	0:00.000	decimal	Cue	
C-125	0:24.560	0:00.000	decimal	Cue	
C-125	0:25.067	0:00.000	decimal	Cue	
C-125	0:25.559	0:00.000	decimal	Cue	
C-125	0:26.062	0:00.000	decimal	Cue	
C-125	0:26.548	0:00.000	decimal	Cue	
S-100	0:27.056	0:00.000	decimal	Cue	
SE-100	0:27.220	0:00.000	decimal	Cue	
S-100	0:27.547	0:00.000	decimal	Cue	
SE-100	0:27.817	0:00.000	decimal	Cue	
S-100 	0:28.071	0:00.000	decimal	Cue	
SE-100	0:28.314	0:00.000	decimal	Cue	
S-100	0:28.559	0:00.000	decimal	Cue	
SE-100	0:28.818	0:00.000	decimal	Cue	
S-100	0:29.062	0:00.000	decimal	Cue	
SE-100	0:29.558	0:00.000	decimal	Cue	
C-125	0:32.056	0:00.000	decimal	Cue	
C-125	0:32.565	0:00.000	decimal	Cue	
C-125	0:33.058	0:00.000	decimal	Cue	
C-125	0:33.557	0:00.000	decimal	Cue	
C-125	0:34.056	0:00.000	decimal	Cue	
S-100	0:35.054	0:00.000	decimal	Cue	
SE-100	0:35.807	0:00.000	decimal	Cue	
S-100	0:36.060	0:00.000	decimal	Cue	
SE-100	0:36.313	0:00.000	decimal	Cue	
S-100	0:36.552	0:00.000	decimal	Cue	
SE-100	0:36.812	0:00.000	decimal	Cue	
S-100	0:37.058	0:00.000	decimal	Cue	
SE-100	0:38.055	0:00.000	decimal	Cue	
C-125	0:40.059	0:00.000	decimal	Cue	
C-125	0:40.558	0:00.000	decimal	Cue	
C-125	0:41.064	0:00.000	decimal	Cue	
C-125	0:41.564	0:00.000	decimal	Cue	
C-125	0:42.060	0:00.000	decimal	Cue	
S-100 	0:43.059	0:00.000	decimal	Cue	
SE-100	0:43.312	0:00.000	decimal	Cue	
S-100	0:43.565	0:00.000	decimal	Cue	
SE-100	0:43.818	0:00.000	decimal	Cue	
S-100	0:44.071	0:00.000	decimal	Cue	
SE-100	0:44.317	0:00.000	decimal	Cue	
S-100	0:44.563	0:00.000	decimal	Cue	
SE-100	0:44.816	0:00.000	decimal	Cue	
S-100	0:45.062	0:00.000	decimal	Cue	
SE-100	0:45.561	0:00.000	decimal	Cue	
C-125	0:48.326	0:00.000	decimal	Cue	
C-125	0:48.565	0:00.000	decimal	Cue	
C-125	0:49.064	0:00.000	decimal	Cue	
C-125	0:49.318	0:00.000	decimal	Cue	
C-125	0:49.817	0:00.000	decimal	Cue	
C-125	0:50.063	0:00.000	decimal	Cue	
C-125	0:50.548	0:00.000	decimal	Cue	
C-125	0:50.801	0:00.000	decimal	Cue	
C-125	0:51.307	0:00.000	decimal	Cue	
C-125	0:51.806	0:00.000	decimal	Cue	
C-125	0:52.060	0:00.000	decimal	Cue	
C-125	0:52.306	0:00.000	decimal	Cue	
C-125	0:52.798	0:00.000	decimal	Cue	
C-125	0:53.058	0:00.000	decimal	Cue	
C-125	0:53.557	0:00.000	decimal	Cue	
C-125	0:53.817	0:00.000	decimal	Cue	
C-125	0:54.555	0:00.000	decimal	Cue	
C-125	0:54.808	0:00.000	decimal	Cue	
C-125	0:55.553	0:00.000	decimal	Cue	
C-100	0:56.312	0:00.000	decimal	Cue	
C-100	0:56.558	0:00.000	decimal	Cue	
C-100	0:57.065	0:00.000	decimal	Cue	
C-100	0:57.318	0:00.000	decimal	Cue	
C-100	0:57.810	0:00.000	decimal	Cue	
C-100	0:58.063	0:00.000	decimal	Cue	
C-100	0:58.548	0:00.000	decimal	Cue	
C-100	0:58.808	0:00.000	decimal	Cue	
C-100	0:59.300	0:00.000	decimal	Cue	
C-100	0:59.559	0:00.000	decimal	Cue	
C-100	0:59.826	0:00.000	decimal	Cue	
C-100	1:00.072	0:00.000	decimal	Cue	
C-100	1:00.300	0:00.000	decimal	Cue	
C-100	1:00.817	0:00.000	decimal	Cue	
C-100	1:01.063	0:00.000	decimal	Cue	
C-75	1:01.555	0:00.000	decimal	Cue	
C-75	1:01.815	0:00.000	decimal	Cue	
C-75	1:02.062	0:00.000	decimal	Cue	
C-75	1:02.308	0:00.000	decimal	Cue	
C-75	1:02.547	0:00.000	decimal	Cue	
C-75	1:02.800	0:00.000	decimal	Cue	
